No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
3946,1748177064,192.168.100.11,192.168.100.255,ICMP,42,Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0,Attack,Smurf Attack
3947,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:60235 > 192.168.100.11:http S,Non-Attack,No Attack
3948,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:60235 RA,Non-Attack,No Attack
3949,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:48855 > 192.168.100.11:http S,Non-Attack,No Attack
3950,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:48855 RA,Non-Attack,No Attack
3951,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:36020 > 192.168.100.11:http S,Non-Attack,No Attack
3952,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:36020 RA,Non-Attack,No Attack
3953,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:43127 > 192.168.100.11:http S,Non-Attack,No Attack
3954,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:43127 RA,Non-Attack,No Attack
3955,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:41100 > 192.168.100.11:http S,Non-Attack,No Attack
3956,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:41100 RA,Non-Attack,No Attack
3957,1748177064,192.168.100.11,192.168.100.255,ICMP,42,Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0,Attack,Smurf Attack
3958,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:42918 > 192.168.100.11:http S,Non-Attack,No Attack
3959,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:42918 RA,Non-Attack,No Attack
3960,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:63582 > 192.168.100.11:http S,Non-Attack,No Attack
3961,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:63582 RA,Non-Attack,No Attack
3962,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:30826 > 192.168.100.11:http S,Non-Attack,No Attack
3963,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:30826 RA,Non-Attack,No Attack
3964,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:39793 > 192.168.100.11:http S,Non-Attack,No Attack
3965,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:39793 RA,Non-Attack,No Attack
3966,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:21033 > 192.168.100.11:http S,Non-Attack,No Attack
3967,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:21033 RA,Non-Attack,No Attack
3968,1748177064,192.168.100.11,192.168.100.255,ICMP,42,Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0,Attack,Smurf Attack
3969,1748177064,192.168.100.11,192.168.100.255,ICMP,42,Ether / IP / ICMP 192.168.100.11 > 192.168.100.255 echo-request 0,Attack,Smurf Attack
3970,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:27099 > 192.168.100.11:http S,Non-Attack,No Attack
3971,1748177064,192.168.100.11,192.168.100.1,TCP,54,Ether / IP / TCP 192.168.100.11:http > 192.168.100.1:27099 RA,Non-Attack,No Attack
3972,1748177064,192.168.100.1,192.168.100.11,TCP,54,Ether / IP / TCP 192.168.100.1:45168 > 192.168.100.11:http S,Non-Attack,No Attack
